아파트ID,아파트명,지번주소,위도,경도,세대수,임대수,동수,주차대수,용적률,건폐율,건설사
19488,삼환SOGOOD,서울시 강남구 대치동 938-16,37.497556,127.055682,37,0,1,70,359,53,(주)삼환까뮤
154,"선경1,2차",서울시 강남구 대치동 506,37.49228,127.062918,1034,0,12,1661,179,13,선경건설(주)
9005,선경3차,서울시 강남구 대치동 602,37.494155,127.060746,54,0,1,0,204,22,선경건설(주)
12231,선릉역대우아이빌5차,서울시 강남구 대치동 890-49,37.504498,127.051602,150,0,1,154,694,59,(주)대우건설
15236,선릉역풍림아이원레몬,서울시 강남구 대치동 890-54,37.504226,127.051481,44,0,1,79,686,59,풍림산업(주)
15132,세연파크뷰,서울시 강남구 대치동 929-8,37.500147,127.058556,19,0,1,21,269,59,세연개발(주)
3304,세영팔래스,서울시 강남구 대치동 975-20,37.50085,127.06214,67,0,1,74,237,32,세영종합건설(주)
128876,스톤빌리지대치2차(도시형),서울시 강남구 대치동 934-8,37.498846,127.056706,25,0,2,20,195,53,글로벌종합건설(주)
126762,스톤빌리지대치3차(도시형),서울시 강남구 대치동 910-11,37.501121,127.054262,22,0,2,17,199,58,글로벌종합건설(주)
127277,스톤빌리지대치4차(도시형),서울시 강남구 대치동 925,37.499847,127.055246,20,0,2,16,198,59,(주)에스엘건설개발
13148,아름빌,서울시 강남구 대치동 889-74,37.5034,127.050632,43,0,1,44,577,59,두웰건설
27002,아크로빌,서울시 강남구 대치동 1023-14,37.497173,127.057315,14,0,2,14,0,0,(주)아크로비종합건설
18946,우정에쉐르3,서울시 강남구 대치동 950,37.506908,127.062328,19,0,1,30,289,48,우정건설(주)
102216,월드빌,서울시 강남구 대치동 950-3,37.506594,127.062433,11,0,1,13,235,51,주영종합건설(주)
236,은마,서울시 강남구 대치동 316,37.497811,127.06502,4424,0,28,3021,204,20,한보주택
3047,청암빌라트,서울시 강남구 대치동 650,37.49245,127.057171,18,0,1,22,242,29,(주)청암 주택건설
22676,청원,서울시 강남구 대치동 934-1,37.498433,127.056055,19,0,1,23,260,59,주식회사청원건설
9579,테헤란로대우아이빌,서울시 강남구 대치동 891-6,37.505663,127.054222,371,0,1,180,1096,49,(주)대우건설
11010,포스코더샵,서울시 강남구 대치동 902,37.504102,127.057307,276,0,4,655,299,19,(주)포스코건설
102325,하이캐슬,서울시 강남구 대치동 986-14,37.500568,127.063855,67,0,2,67,0,0,정문종합건설(주)
105,"한보미도맨션1,2차",서울시 강남구 대치동 511,37.493541,127.067516,2436,0,21,2906,179,15,한보주택(주)
11167,한보미도맨션3차,서울시 강남구 대치동 601-1,37.494596,127.061803,18,0,1,28,189,22,(주) 한보주택
23995,한양팰리스,서울시 강남구 대치동 941-13,37.499211,127.059755,14,0,1,18,237,41,만양건설(주)
24735,한티,서울시 강남구 대치동 933-35,37.499028,127.057213,22,0,2,32,0,0,"정문종합건설(주),(주)광백개발"
973,현대,서울시 강남구 대치동 992,37.499994,127.065332,120,0,1,55,243,20,현대건설
113852,현대썬앤빌테헤란(도시형),서울시 강남구 대치동 894,37.504415,127.054758,49,0,1,37,249,49,현대비에스앤씨(주)
24662,화인하이빌,서울시 강남구 대치동 950-5,37.506477,127.062503,18,0,1,24,292,52,화인 스페이스 건설(주)
